Protein.Group	16.01184_CD14plus	16.01184_CD14plusFlow	16.01184_CD34plus	16.01184_MSCflow	17.01060_CD14plus	17.01060_CD14plusFlow	17.01060_CD34plus	17.01060_CD34plusFlow	17.01060_MSCflow	18.00103_CD14plus	18.00103_CD14plusFlow	18.00103_CD34plus	18.00103_CD34plusFlow	18.00103_MSCflow	18.00105_CD14plus	18.00105_CD14plusFlow	18.00105_CD34plus	18.00105_CD34plusFlow	18.00105_MSCflow	18.00190_msc_f_30K	18.00260_cd14_f_20K	18.00290_cd14_b_20K	18.00290_cd34_b_20K	18.00290_cd34_f_20K	18.00390_cd14_b_20K	18.00390_cd34_b_20K	18.00390_cd34_f_20K	18.00390_msc_f_8K	19.00019_cd14_b_20K	19.00019_cd14_f_19K	19.00019_cd34_b_20K	19.00019_cd34_f_20K	19.00019_msc_f_10K	19.00019_msc_f_20K	19.00074_CD14plus	19.00074_CD14plusFlow	19.00074_CD34plus	19.00074_CD34plusFlow	19.00074_MSCflow	19.00406_cd14_b_12K	19.00406_cd34_b_20K	19.00406_cd34_f_19K	19.00431_cd34_f_30K	19.00431_msc_f_10K	20.00083_cd14_b_20K	20.00083_cd34_b_20K	20.00450_cd14_b_20K	20.00450_cd34_b_20K	21.00034_cd14_b_20K	21.00034_cd34_b_20K	21.00176_cd14_b_15K	21.00176_cd34_b_15K	21.00432_CD14plus	21.00432_CD14plusFlow	21.00432_CD34plus	21.00432_CD34plusFlow	21.00432_MSCflow	21.00839_CD14plus	21.00839_CD14plusFlow	21.00839_CD34plus	21.00839_CD34plusFlow	21.00839_MSCflow	22.00117_CD14plus	22.00117_CD14plusFlow	22.00117_CD34plus	22.00117_CD34plusFlow	22.00117_MSCflow	22.00251_CD14plus	22.00251_CD14plusFlow	22.00251_CD34plus	22.00251_CD34plusFlow	22.00571_CD14plus	22.00571_CD14plusFlow	22.00571_CD34plus	22.00571_CD34plusFlow	22.00571_MSCflow	22.00697_cd34_b_20K	23.00083_cd14_b_20K	23.00083_cd34_b_20K
Q00796	5034012.804899009	859154.9519169645	1944938.5950951527	4602565.3411821015	2841981.0629841792	8757600.919581266	4336132.346144777	5390116.348390605	7661740.866303742	2488540.9005107046	6574412.762331432	9055183.01489759	9505796.995920673	7606780.381042854	5486990.7584560495	7047211.753366361	10505072.802509535	2299982.412222211	11455149.337179592	6001698.676231405	4710189.308845293	12259279.617035143	15160507.964172464	15332273.448268391	7603974.407928547	6124081.826730374	18971810.874561742	12719006.84123853	4755095.3714912515	6130530.727452435	6496958.334844495	8554051.44746102	8394999.02810218	7665186.641689856	6949055.30501237	7438257.641317602	7698194.28372435	14458152.629083762	3455938.1505557755	4507578.620260223	6300265.965363702	5923242.974295975	8620653.693113338	9531665.892618703	730555.2079589058	822618.8487315964	5597715.9637093805	2697961.8261959553	5866346.385840819	2449319.2589749997	7622618.767744978	10910104.844916034	1860005.4836386994	5948442.690063906	10428711.698767228	8674795.072744282	8028170.580760673	7509885.899345908	9446882.299174596	2125578.8479269133	11245500.16829977	7580756.000000007	2366166.708282463	8015939.3370579975	1929177.3227471393	3918035.2914345628	8807104.721163109	2376926.099589164	9083056.807897015	6564943.67587331	1532082.4368897716	5750768.860622989	8197592.944154442	10109507.689823588	15545977.464709386	12233765.164862726	14716549.749580426	6136457.999576222	12960558.708621703
Q00839	201997729.00670686	374046729.0662881	178090612.70243636	382676650.2349281	145331110.04436743	202551832.36670253	103523902.18521991	640664809.4664626	213801092.8893142	80977601.00697187	265998031.4141388	139400063.53858903	214307625.93554986	451503497.52984154	185842905.3821892	295664974.31416756	172536538.75223583	404465375.5547529	265133902.16238463	264189818.376193	250619860.4353269	241473543.38834	290535463.70743966	313406499.9311764	212726230.94746977	194428891.56192946	354819550.1372173	507246106.16844165	114468410.75752938	186853167.71047908	216352958.92831835	295912880.215996	233333120.44650784	272158433.2172251	105699599.53965594	388639122.7937107	106828201.05763751	278940812.9714186	322197024.4755889	195236973.20325834	195375179.52736086	321742381.8173617	318593848.30038244	231894223.27723745	209803640.87326857	249754891.2008013	184540370.5608796	119585718.40078819	234061295.1926383	100806506.7962432	181057724.98668817	241852654.05506662	206227549.39069924	296481669.2557541	220375676.60181257	288081739.5975591	690061853.2901042	172106093.39720154	242087857.54824165	105515864.34965663	232968288.8796029	271800000.0000003	123151600.67728071	210271644.39419773	110531608.92647864	387720342.07462734	306125124.7622561	117415942.37085539	339619980.5524961	197736103.51730376	376748926.732251	200252618.9503391	246918101.566209	165834808.834991	432807499.0174923	231655883.48877692	150869144.36098388	85108814.37173782	100241352.12650132
Q00978	1934575.3690347625	1396999.9218162014	895696.7272156321	1881456.8983989975	1121952.8260353836	1598834.9790289458	281791.25689761725	1085709.7101036333	1237271.6328828353	1051207.6868110984	2475469.5762521187	2167202.209050331	2402137.815669021	4886688.4823963335	1695788.1306257967	1217351.254242864	919462.5030584007	1636924.4195095014	960752.7245059232	1099556.7957679522	1128358.7314796348	365137.88435627386	494557.4838046572	638973.477396564	764291.8701193222	554314.5214913419	899990.6637791197	779488.6874968108	1693446.273333566	2284463.5556853684	1225739.3022118441	1258527.0977504498	1022646.1170470911	1363497.1351293346	856877.0699066047	NA	88205.22482245511	553037.0834913872	NA	1063875.1318071065	1271708.5236956007	1357865.6269494854	447972.47490616015	285074.1743869708	653911.720681107	732867.4961988166	1016064.5476917881	635877.9869720325	851415.7380704517	339076.5587038069	342889.01962519804	649582.0897267929	1012649.0708733717	2533342.992847235	1329240.8334214715	1664112.783190586	635899.5148204822	912694.1998410001	957431.4922178702	168669.3164777078	939113.9119505098	1575391.9999999988	251952.5984986744	1646051.2618054172	NA	411087.4781166362	979134.3379868434	218791.63017089103	1472928.1310103252	844733.1859202042	678286.0451328353	1101147.736832706	512693.9679481108	519887.2653574611	1345212.4969462608	1533547.3579666088	1001704.6707749406	794353.2604198334	418826.08379384084
Q01082	16886245.48478781	7802244.563343461	17407301.039331857	13448630.64231935	11501664.53725364	6731048.640669889	26147582.29148566	13835592.765922397	17581341.12197913	32086974.312051166	15722327.826241082	20544665.592991494	18633574.704837985	26438200.10484398	20245103.83292403	28157055.08074348	43570936.05198863	12587741.58040537	31441761.574080355	5578591.670477531	10085797.223198542	20073618.565471366	23345020.688835908	22136923.968694795	18496835.976808455	16166719.507627381	24372622.80697334	29980516.12577645	13865187.781897921	12395513.917082695	11720003.270699857	12493417.24563387	12836962.578287601	11807932.02318122	8957244.975566572	13823746.013295269	21735714.81103433	16348023.162670758	18485250.572740246	14645435.796752866	32644024.827449683	27541590.141135603	15008990.141112622	13707348.869509943	15688208.440174613	16020051.673528943	9279635.015243812	10706315.316457434	13698017.570978455	17135711.874492854	28159410.81937644	32586354.621620134	23494889.54056073	12484676.159778386	45761069.45829986	42370853.91160197	40291193.17685132	14779978.634997154	9181149.51703527	24622440.944292285	15324234.899172364	19879999.999999974	19451138.193929397	11602298.348045308	33923697.849273376	24131492.404287424	20486577.352654763	13790378.326465948	9777195.35239612	15694592.01445447	7911279.48405654	38822697.51329206	20147372.725834608	30736791.64925213	29115077.43390641	29069221.813756425	18322158.903622713	5397038.80690014	2798567.7698090374
Q01085	18373084.709863484	12684759.29009111	10272593.490381675	13949146.022211498	13608074.030994864	12624593.53342235	6462899.625293927	20100041.712715033	11899240.004650498	9978168.819732606	14701262.13573637	10419419.316907499	12415210.859920923	15730397.75661645	19067818.459462207	11551068.888976423	10275752.086446447	23414235.367667586	15013857.047940524	10829633.004339872	10868666.56411215	8908917.485671509	10513119.586302355	9214630.913077382	5358110.285232829	5037378.495588539	11523146.873475432	11952459.553931711	8857194.811255993	8192084.692725443	7441777.439094752	9352156.726051891	9861783.24490815	11608548.555622807	5593142.07476605	13931974.629769478	14276655.6609745	13082686.94349499	11180451.071048701	11332904.50017822	10714808.539911842	9818118.043086462	11840539.85772488	11247564.123027675	9632559.982267195	10108631.827719625	5854780.030236306	4989907.674277493	8305719.3779328605	3837099.9901169045	12036695.420663713	12246875.466819009	8084782.736408075	12602234.315708505	11308895.873307122	17308944.576654423	14703278.704089796	13057827.73209927	11378995.450948205	7573265.926805061	14359539.938081196	14650000.000000011	10183128.403828913	11751729.973503122	10338667.237910276	17758007.32908807	13266539.725914495	4501435.268248503	16600069.338570373	9961207.870858436	3458384.9160201857	12356219.991680302	13182169.593418824	12102247.18637537	22634662.4486175	14725412.748898989	11459519.124025637	6370452.619767892	8528470.593619803
Q01105	18688388.0840451	23329898.69433054	7494906.376664178	55154618.710288584	30593090.266241472	43415780.709942974	36821912.73060313	68005781.66472125	28645922.205440126	34895584.78175941	56179451.053076185	81125333.09675968	64313804.61057807	50782547.77030687	41583401.22691971	31643570.36925105	103412722.91035889	44828936.47606086	68175803.78348048	36900592.60930553	53479126.40526651	55794951.176288836	61408408.79849513	70881776.25444141	49123020.511396736	21262983.405396022	94965160.69761063	94824738.50387627	43328711.81843097	54613897.95150301	105840971.56601231	112348666.140098	99137968.69617553	92048700.8561311	28741251.653251454	98556913.74745832	21702819.291078143	67462273.12950684	59831487.36104338	36054400.12509706	85888544.64532523	83586680.63708751	113570425.74220929	124278640.61863925	64217066.54844803	111267674.0748993	40772994.262854755	26412097.51729636	51256460.845982835	18662449.42555628	34680440.44574368	57069822.70432055	10887875.640747666	34268202.453629054	57781560.90930777	55092126.83541626	48191574.52552132	38063365.104849115	43231521.25179466	13499119.565263737	42790320.17069906	57299999.99999998	20261111.62600132	33353571.086527277	24869742.484218623	39487896.66156126	54488805.84709846	7067674.0660350155	42494823.09006797	12269118.196740815	35748590.19409465	13951235.512248272	21705407.240800604	24348444.041573368	32869974.925382454	24658332.171746273	120368523.11832991	61108756.03003162	66297190.55985548
Q01130	32583019.58951512	10938509.387820855	11221578.863397386	57450460.99631567	43543607.89442827	49319665.15513892	42435745.32723589	82340993.05830197	54370538.186717	37032049.15615274	41301065.27715026	38289942.571695544	38611951.27925139	88021315.83778149	36064876.03881745	46522194.88312527	43538175.949693926	39990685.18548532	56249976.89013723	54250524.501891665	71373282.7690059	49779528.258613236	54137653.19675327	68809847.41008088	44496708.64816588	23928886.158640537	80322487.87496217	90471506.99571449	54312036.44217267	66068498.27091931	72825382.6422112	94749421.53527397	105275576.41188833	110990130.27417983	31124371.8761086	105178537.28265229	22599222.209883604	66693958.72499496	83228277.9410332	77540925.52753529	99282055.32021496	98402309.21561883	100197096.62401426	120906355.07910722	58150959.28491393	70334468.11270465	46780840.43767242	41439175.800752744	50693528.61703857	31441033.585827008	58477125.64521681	95219199.68324442	20381108.999040645	57485938.24982709	46122010.44103346	38284019.7754475	28023426.896138426	44623327.825721495	61496378.8405193	21948792.05387673	48678285.96770379	62000000.00000006	50477553.321083054	57424438.92592806	46440051.20410141	85326186.06109281	112771175.93468983	15813920.722753335	45372958.51847894	31354170.99597095	19522851.6373264	33112330.860985518	68331613.66872363	35985959.10358362	65856924.8504995	47902485.98498543	86926770.54156323	80577032.28738685	86981914.0145304
Q01167	882054.6259399178	NA	1131023.626331876	806355.3027752383	987006.6491458748	1015629.421591806	815383.0270180083	NA	1325000.7059530953	436206.01220691507	707741.26433569	1339545.4097483035	1838315.107989315	441405.2977905485	992140.430122483	280186.5420029388	1372618.8020570516	NA	1454275.049472567	743849.4133414745	786631.1806037016	1614929.7521478496	1688613.337813722	1942419.1152328094	1742110.911941781	1587517.7881433733	2404475.4263335806	2948113.4226962994	818286.9061581285	859601.2763810578	1322181.9776768142	1400349.382544149	1169290.2097353796	1241175.377782252	323514.7334948152	NA	907734.6030423265	1919315.5428778818	NA	1171348.3457599173	1201711.4857637351	1565172.7570126236	1907983.152469114	1462506.67866592	1967093.2081659208	2088184.6460565065	871159.6986068413	1153251.7845744423	1049847.8673727217	294445.628101486	1068534.8077539664	1680560.2621589175	798041.930699428	723007.3461829637	906642.8307862079	1403220.510698855	NA	921916.4269229093	759410.986985945	292071.8919042446	1085584.5458532858	622109.9999999999	171242.05735914898	747003.3588198021	692945.5828152341	NA	592911.5016831044	541136.0441710871	NA	1138566.9349649411	NA	542021.9609520793	101006.55893529544	1098867.5193660832	861064.6705453129	1420803.6718802976	1147561.9094810148	608524.237259765	927222.9603746978
Q01196	1185247.6946332918	613331.1621746158	3927552.602189081	5832092.252656278	874492.0616111424	947726.4788301004	2693315.667226609	1272579.5673135319	2360811.3570737424	3200695.6919751824	3511215.6908172616	4668810.841455824	6304431.164569909	3644904.113983156	971599.9537985377	2595812.366478589	2277095.742322436	NA	2477023.358489608	575875.4591563906	1847628.5805081548	3921446.5855733566	4264199.906967498	5256156.3314831965	7233869.458870065	10642198.139458023	8690108.001267383	14308882.69639331	1850241.7973153973	1887964.6110931162	3825744.5314181712	4943020.021629086	4941294.347395958	3328719.1754328404	711207.3054739707	2611480.755490866	2831693.233942402	3568666.746077066	2769320.038665919	1715486.4650363761	2238473.3837499013	4292881.45153781	7489064.306189162	5405575.350132351	6860976.49116969	5859474.152963898	1684838.276606372	1776515.1511169628	1898766.4578275857	1662145.9261745121	7249687.816583652	6097730.606065226	4770781.273149426	1657428.9288275295	5200121.529352258	5689514.1895484505	2357963.1520318734	1325149.3410850477	1226294.0935817119	2275710.450911866	1587123.9119006717	1293797.9999999995	933479.3978293868	1083163.6760809282	1763940.9551295424	1304717.0534375515	2294855.430072906	4105982.0764584467	569571.9966470709	3005952.0336797526	NA	1892107.577539884	2359063.6849391027	2447403.9121530647	6866432.484412633	2583408.6793191694	3504631.400878971	1399911.8302630584	3091511.187904439
Q01201	104175.60271052936	NA	NA	NA	289979.47593219206	613724.504197825	NA	NA	258758.39056587734	NA	NA	NA	NA	NA	544378.5436397652	304386.56119089	346212.0370609184	NA	419719.6519607273	213795.7896500246	655151.0199235227	NA	13962.307091696222	40483.85388550786	98545.6578020087	54731.3047172127	120938.82183951835	NA	62273.73762103251	347195.0720745382	60015.971096475754	NA	23424.335887892306	8685.697689809644	NA	NA	NA	109211.62418801407	NA	110792.13598500362	24647.24857291031	136812.37912742354	145176.54029310134	NA	136478.00050445506	138843.56457882136	329235.8060267693	11979.697694408605	191387.47687721302	NA	NA	NA	112078.14865346432	NA	141944.70679005375	138513.4266296303	NA	24027.601992881097	348392.14368970675	NA	198531.1182271702	349783.19999999984	NA	NA	NA	NA	NA	NA	NA	199097.41023793304	NA	243357.116987562	NA	160395.6020774517	NA	221358.19583853672	NA	NA	NA
Q01415	2978094.362649786	NA	966175.8620683554	1216566.8273657116	1904664.5023454258	2285610.7993366322	1818716.7669460122	815033.6321293185	2641281.366330836	2448532.204361016	1686560.8828476625	2226491.362010352	2403697.785837737	770777.5630666412	1941939.5815588762	599817.334934005	1429380.0472963082	NA	2090657.7593690678	1475817.9618170336	2204350.621046157	1587546.2525684943	2070663.0511835688	2019575.5644190665	1002002.7926858342	945013.2764160847	1775577.9339170726	1051142.636216903	3280767.432045799	3751706.833439356	3129557.228437615	2657010.14179697	3049268.580688069	2956588.7638958995	1449553.419692719	558628.8912071668	1652784.4121414502	2586072.6554567595	417175.4921285117	2894175.635778926	3106387.757161284	2321496.222575646	3362306.9761321973	2929344.7605527616	1544667.2783029657	1701601.683159285	1580525.612400995	1111619.5127295894	3009629.265615062	1683475.6349016067	2269562.7332927636	2890879.5812255507	1094846.8705418503	2421908.441259522	2680155.7733772784	2878711.875055443	1390014.593144033	1197625.156694384	1874762.581627724	882417.9193596862	2027376.317954412	2372573.000000002	384978.7184302609	1691693.0170639956	448324.966321176	NA	1220519.419478366	492213.0153131539	NA	1957869.2797364597	NA	1984883.495264482	710750.0141749758	1847630.1505489598	926183.4831474909	2434407.031430023	4058769.955539207	2359846.0249644066	3103180.5541980225
