Protein.Group	16.01184_CD14plus	16.01184_CD14plusFlow	16.01184_CD34plus	16.01184_MSCflow	17.01060_CD14plus	17.01060_CD14plusFlow	17.01060_CD34plus	17.01060_CD34plusFlow	17.01060_MSCflow	18.00103_CD14plus	18.00103_CD14plusFlow	18.00103_CD34plus	18.00103_CD34plusFlow	18.00103_MSCflow	18.00105_CD14plus	18.00105_CD14plusFlow	18.00105_CD34plus	18.00105_CD34plusFlow	18.00105_MSCflow	18.00190_msc_f_30K	18.00260_cd14_f_20K	18.00290_cd14_b_20K	18.00290_cd34_b_20K	18.00290_cd34_f_20K	18.00390_cd14_b_20K	18.00390_cd34_b_20K	18.00390_cd34_f_20K	18.00390_msc_f_8K	19.00019_cd14_b_20K	19.00019_cd14_f_19K	19.00019_cd34_b_20K	19.00019_cd34_f_20K	19.00019_msc_f_10K	19.00019_msc_f_20K	19.00074_CD14plus	19.00074_CD14plusFlow	19.00074_CD34plus	19.00074_CD34plusFlow	19.00074_MSCflow	19.00406_cd14_b_12K	19.00406_cd34_b_20K	19.00406_cd34_f_19K	19.00431_cd34_f_30K	19.00431_msc_f_10K	20.00083_cd14_b_20K	20.00083_cd34_b_20K	20.00450_cd14_b_20K	20.00450_cd34_b_20K	21.00034_cd14_b_20K	21.00034_cd34_b_20K	21.00176_cd14_b_15K	21.00176_cd34_b_15K	21.00432_CD14plus	21.00432_CD14plusFlow	21.00432_CD34plus	21.00432_CD34plusFlow	21.00432_MSCflow	21.00839_CD14plus	21.00839_CD14plusFlow	21.00839_CD34plus	21.00839_CD34plusFlow	21.00839_MSCflow	22.00117_CD14plus	22.00117_CD14plusFlow	22.00117_CD34plus	22.00117_CD34plusFlow	22.00117_MSCflow	22.00251_CD14plus	22.00251_CD14plusFlow	22.00251_CD34plus	22.00251_CD34plusFlow	22.00571_CD14plus	22.00571_CD14plusFlow	22.00571_CD34plus	22.00571_CD34plusFlow	22.00571_MSCflow	22.00697_cd34_b_20K	23.00083_cd14_b_20K	23.00083_cd34_b_20K
Q96S38	13422.783043006371	NA	6853.787624576336	NA	16763.966817714485	12430.911585193755	NA	NA	12731.483278882724	NA	NA	8663.69660288448	8108.893454757408	NA	20427.96924608185	NA	18781.535895291836	NA	8039.688434673744	12292.12167482032	21864.401735302654	8613.786549973023	15838.378691697544	8586.696844739397	21766.46930814753	16274.460095632096	15902.746087837844	NA	24664.74153607028	21553.357313246175	12909.748571659915	15351.21992256226	21184.89961413403	23422.462184069103	27463.912752911423	NA	23212.604684200473	14947.915058189956	NA	3542.8396338656044	8884.871591478322	16090.921107159122	12358.408325951283	10207.392811130823	14794.056651392879	13017.84562358154	20565.077672232084	20690.112340442833	15989.450902993874	11589.875611982789	NA	10029.682755265656	7330.464173560083	19097.840231293776	8773.034442068414	11673.750196695748	NA	43023.30859512486	13723.39238326383	12074.648241130266	21412.46159400275	6028.0233627407015	NA	17080.779292824027	NA	NA	NA	NA	NA	1546.2397693436521	NA	NA	NA	14623.093916513037	NA	11823.94753810595	13731.061661073956	12497.28584706437	15597.450090657201
Q96S44	395013.30815846904	NA	270573.93082658364	506296.6859562684	492623.50704151293	473050.1822037441	533102.8291117615	240888.20573950588	646493.6894443164	415430.5922768949	314255.2200161917	897892.867960155	742810.5770801767	423134.9213064893	541124.0514870901	406579.5955743413	929868.131338559	NA	732648.9385669566	1177491.1880748405	566536.4949406958	451028.96249237226	630874.2431988757	662500.6746336159	362165.4336528768	166630.9128596479	725862.630642606	396212.2450772987	680385.1540460696	690849.3763481566	814974.4762712474	942374.2008335697	984254.3648997121	1084518.7812850664	190277.2125574033	216377.6075743008	541197.5023491913	776658.575552497	247412.50426146382	569810.9039081669	775284.8632293931	991995.0898492076	736874.254923762	576448.4365558886	803560.2913271877	1117478.867444102	482212.80297703587	491672.0322675373	503608.7148628476	255004.0560992837	386318.20095153974	572533.8915163066	131667.073161053	429174.33387587406	1055657.0769748199	1072102.3167064055	NA	674432.493693632	487050.49646723655	198557.66340638368	678546.7568601115	848062.4439430591	226404.33262589088	385019.28502346785	337487.67490737885	NA	621747.8818390548	99021.5252411872	NA	300218.696588664	NA	447227.85132936237	470675.14436399314	656996.7706225339	547264.905896285	733018.7472518915	1117283.715960173	545951.3778149411	603194.5505862677
Q96S52	326766.6088106694	NA	1023116.4328650759	393242.6779057718	176198.42355554033	284474.3893756181	340960.05764669064	NA	282183.22168143856	665712.3723815419	459731.78023846686	616588.1322361969	438885.96503049735	397172.25884647836	275084.0575145634	322710.03861431655	400913.18264164083	NA	485829.92670488183	699971.3789157369	533897.4730576557	574673.5516194968	499478.634649696	385894.8943819456	574415.7822354945	938879.3308735202	364380.7253891204	411056.8318033643	439711.8342635734	315062.17636747553	419653.06337254535	382315.24660305417	399326.2168916049	349822.6442867234	582876.4573169946	NA	558707.4819399503	288181.45045839326	378518.4011716508	263252.26979014673	318928.5966121534	287314.55970621476	402776.07743518415	525227.4005304475	382279.80971744016	268330.8148812851	587658.3597503729	1047324.156308501	447769.2920622326	1386399.8557312824	471261.81635134434	387473.93259871047	562840.9534530793	277696.29840043915	291959.9059215645	279678.600549244	NA	314130.2822008221	338536.7130687373	838200.4947651261	375520.6620269726	317477.82499469834	434833.8167393962	245106.80337587695	648271.2097459902	NA	311518.31770667934	1562327.563185169	NA	674537.171970092	NA	540363.1940638033	453220.02599648724	695103.8634513299	381523.39095109253	476388.22298708215	357747.7227097348	314122.82024147385	390226.4941043192
Q96S55	172355.53685606757	NA	754060.0926044586	588751.81275993085	76018.58640887542	137016.93394527218	312414.76742877235	NA	366974.13416166365	152550.05188458122	189992.47464069913	503812.2322987011	607157.0978119705	240670.70835637773	129820.76127797866	230868.01927807386	443091.62862113636	NA	462015.8825967151	189533.34321030078	102602.53158466754	649934.073683396	688864.9859054617	778786.5781781166	410995.25741367065	502953.4329869159	598319.8328141682	535894.2277540542	181435.47981802694	157974.04616582827	605847.8263249745	662340.3236483622	552758.7291457163	585847.2642558572	61540.24370422056	155987.34007236522	478858.9815482607	887830.0942212049	115755.77879357987	188827.09170725345	552462.7940551429	979864.1649136778	548766.314966739	342914.2242567441	794331.4629636641	873057.0558050215	125528.25466440002	158704.68536213713	170022.07530127	181239.79027933907	281672.6586664522	493823.1382934229	328823.18836484966	153445.3821711386	1118933.1531896107	1390835.5639122848	337162.46890562226	148252.89079515968	109504.04129993045	141772.94487219796	225033.29463642222	118353.01347522228	68309.78003925031	103219.26315146976	149487.00826809142	NA	176256.7306641009	157599.5043921156	NA	238702.09557743478	NA	105930.35769456132	88238.34872487896	328408.35866870923	286942.84331971285	280307.9099379256	258780.00697622672	147813.7832396395	248199.5709839131
Q96S59	242488.78713315367	NA	129755.94188605997	169657.61196882918	183911.11868607983	140007.3770028345	140417.5340169911	NA	166694.52968228215	181471.2644320206	241552.8491962325	215480.13043561057	174181.61180680795	NA	288161.5180787395	125061.2553402686	240952.33324055345	NA	185077.43808873708	173406.3390013892	112115.94860556432	106867.04982310519	140100.62169187938	142784.3940313517	148276.4827655367	133415.61140080803	202419.33572704866	177682.87022923684	147826.01370145733	138751.03718289116	124464.12515425424	140528.47340938274	178539.9746775574	178455.97875933323	49717.41478201593	NA	149699.5988112993	185020.0935829044	NA	146793.40607829212	106749.77965510402	127787.60529633363	133421.62192856168	137355.21557053752	159759.22160919133	182379.96973423273	128232.64974660614	127840.06537777733	121456.74774289853	112331.86416697822	99684.7128125051	114430.86723711387	102904.40964409291	128292.8687070977	168778.55790893093	173328.01329837475	NA	193307.8602861589	141886.9222731438	126748.11499457157	161954.40857298847	119094.54521094581	135735.42648012546	139355.11776108068	109794.3892287725	NA	128769.57754265031	31874.642961308742	NA	79564.85083025477	NA	150251.13525623994	82660.68047668878	127375.65719450414	NA	171797.84534621463	188085.03774504538	175808.74412096312	130412.26145317891
Q96S66	197144.08201945754	NA	324726.6608667995	100510.2462282113	96043.96536379735	151331.77141304692	186446.43129480333	NA	97410.66272521931	332162.8744193462	138035.56287388765	220465.7002857947	143722.01258954642	NA	214806.8904514904	154495.05522346837	190358.14676977	NA	151026.04801707264	167436.49233472656	139255.62355969354	269775.366858827	141098.07371630473	113064.67817530596	187992.43547940458	226015.37670918307	44607.379584180526	50475.48121339467	112522.19354717321	125975.52129262195	50662.36135423373	41376.309802884345	39872.53296295264	58402.90594774283	512267.8310548389	NA	299380.31960257556	155281.51780611786	NA	145737.54846545774	118637.04836522345	81589.54369142653	136842.47388094506	118051.05014712326	139519.46495406763	77995.60084848078	273662.6679279306	543187.7106703552	184667.44423270412	461523.62691305886	139147.1177896036	117746.82110848965	320853.80728784413	103352.8828578079	206586.52317603346	203111.6734119274	NA	252757.497538316	146270.58377944978	420537.9174247368	160636.10121958243	84755.85109441367	221036.0330010444	213009.80217233067	212405.9432055664	NA	128096.96175350816	291415.3757387815	NA	278881.8724694054	NA	100068.00006295281	89306.2561894266	240893.41327043125	NA	115181.08839752803	132678.10050211847	340722.616355786	204132.56344902285
Q96S82	90232.78833939484	NA	273298.2076481459	NA	70428.93793198545	80747.08320757248	312299.2122768284	NA	85123.40805235611	143193.41353255525	106345.59360190117	165510.43227514508	193860.56989343514	NA	100358.56389319495	138049.18581029412	377955.1447469591	NA	120657.91196825114	105580.94690567751	144596.73551967458	172685.80551531643	201909.65191090715	248934.7165611779	98032.12479126653	48834.59240507604	205462.7289988904	91763.37249047028	99037.32203889251	166279.3637803657	125873.07962039963	310740.2693842703	208121.73855659927	215939.70929128086	NA	NA	104715.4331655397	127576.33778833068	NA	101715.24192929661	77358.35737085162	120894.54282277316	156976.60558622176	179600.24423873817	112506.79317971398	165657.60568020857	135744.97517991156	71740.45942440038	137526.2898285592	25213.03714307344	NA	89259.30083361182	150942.2265310936	51277.9965833447	145820.76704005658	105496.19339112863	NA	150746.2262800165	82943.55772260079	90185.10983892519	97693.70702296568	81780.20807283703	NA	51330.60726181111	NA	NA	55694.772501854924	NA	NA	170338.76873741933	NA	57536.97803793319	NA	28484.462407381347	NA	39173.8970937041	108327.16732307203	69247.2886357261	63688.595331928605
Q96S94	98981.59373928691	NA	66445.43313864297	50873.050875700494	50603.79447506117	137971.25520848756	102646.43853619725	NA	74496.63751208012	130818.09488069233	178305.25807843596	118338.52012910161	165736.21081239448	58765.79387984862	154761.42902572092	91894.8865534513	145326.09290779676	NA	140038.15960081803	126670.00651398081	72415.40058955194	117718.191230019	131314.74384919755	125136.24729123345	101417.68787067736	123948.90011180087	118742.91980596869	75145.07572355111	70837.8985556982	72009.86389382483	157309.19502086472	137934.08068245463	110781.25071493187	72951.2493965115	52859.178743257486	NA	75601.11976305758	165296.93143142972	NA	95493.04510835855	78180.53092329738	123259.40374794991	82404.50090785138	72064.78867120153	119015.83784548339	174745.5692676866	130482.05790301487	52748.28072427979	129196.58641312509	163509.07027090117	45508.49583906084	66630.98646686811	100170.7805396824	163597.1747754932	116217.58580088567	125919.86001194031	NA	84781.26958837063	97164.59767155211	25986.122284520483	116019.0556418	210856.2725602407	31313.060827741792	107427.2009810145	NA	NA	68706.7783697546	NA	NA	106662.80055025102	NA	90057.21342682808	83018.99516208998	159753.2929046191	254112.52664360986	235505.95612021038	61350.2501371454	634982.4346498337	50922.48370645439
Q96S97	2430809.20549712	400690.2567662397	3809538.468070598	859493.3349904226	999415.6390585809	1895543.4320824645	581715.5254502605	792327.5282187458	1721517.3015575532	4195520.321723126	1460828.9444676766	467724.71953667543	1101815.903268721	836638.6782771208	1675364.2743623727	3572443.070407842	502344.27216212294	NA	3370941.613762865	2302353.609109358	2364575.6513111345	734425.0832707547	707983.2243396684	653016.7563578633	693793.5257627369	1621635.6737396433	693625.5802979426	904637.704637738	1601533.2645460048	1025017.7222073391	1027027.5138906647	535571.8652157105	398299.6190492465	350429.30803517235	1231565.5152678406	909741.1850636738	1028456.4079436022	909180.169525604	864018.0102126636	1493945.465536606	934378.0437698587	806381.601436892	684715.2759253283	679174.9257294555	711058.1429452407	489617.3255641399	3710088.9814860583	1570603.3720908158	1789016.751789825	2985365.0894457116	833621.1221762086	473279.8887521383	7725364.290643921	2191854.0573754176	879610.7359638077	3907347.1606249292	3820906.6686289664	403558.4861413366	2176764.4397329376	1127654.0316199686	1371112.7465988563	1625861.801661011	4759386.588150191	1520800.9244496422	4784128.666009455	752057.9421481749	834751.8809765251	1001916.3343078818	556522.653952042	594775.9893979757	NA	7040017.419129265	3709645.367737043	1899446.8007609416	1894651.5013923587	2391474.4078371334	620864.1389667916	409130.934222644	1099054.3735996583
Q96S99	30139.311278690133	NA	36321.41907918986	NA	NA	NA	25600.857442277567	NA	29964.00190002031	NA	NA	63050.42968386247	21328.75023657753	NA	NA	NA	43818.810418314366	NA	18513.419510638847	14753.043607092564	7794.958418552115	25136.96693054522	33553.77381286677	45377.11643682729	24514.124018359747	17300.98356069103	NA	NA	12740.033339969874	497.4371684230215	17609.662717374697	28608.154799133747	47057.768127753414	41893.66750364556	NA	NA	34583.181412990896	27396.908113315203	124172.86772835434	7072.955555767266	17557.847710382794	21492.89619331964	20207.702500957104	NA	45502.08696748731	62935.22208973816	10274.248077267048	10210.192055797894	NA	28354.07944793345	NA	28893.514113575013	NA	NA	60109.183758641535	33897.039994582185	NA	NA	NA	NA	NA	255073.16470530996	NA	NA	42421.87388321037	NA	22103.068655148785	NA	NA	NA	NA	NA	NA	42869.90618582611	NA	58905.40065145814	26700.677130379318	NA	11967.431232861614
