From	To
H3BVI2	SP1
H7BXE3	SLTM
H7BXF5	SAP130
H7BXI1	ESYT2
H7BY36	EWSR1
H7BYL6	AKAP9
H7BYY1	TPM1
H7BZJ3	PDIA3
H7BZT1	SF1
H7BZT5	ZNF185
H7C0J3	CHD3
H7C0N4	SF1
H7C0V5	ANKHD1-EIF4EBP3
H7C0W8	AEBP1
H7C144	ACTN4
H7C1M2	SON
H7C1S1	NCF1
H7C1W2	IDH3G
H7C286	NAGK
H7C2E2	SMPD4
H7C2R7	SMS
H7C333	NIPSNAP2
H7C433	MFF
H7C4C5	MAP4
H7C4G8	NT5DC2
H7C5A2	EMC1
H7C5D9	LRCH4
H9KV75	ACTN1
I3L0A0	PEDS1-UBE2V1
I3L0B8	SLC25A52
I3L0E3	hCG_1984214
I3L1Q2	BCL7C
I3L213	PHKB
I3L2B0	CLUH
I3L2C7	GEMIN4
I3L2J0	CIC
I3L3I1	NPLOC4
I3L4B6	B3GNTL1
I3L4N8	ACTG1
I6L899	GOLGA8R
I6L8B7	FABP5
I6LPK7	BAX
J3KMZ7	INTS2
J3KN66	TOR1AIP1
J3KN83	CD44
J3KND1	SAAL1
J3KNF3	TET3
J3KNF4	CCS
J3KNZ9	FBRS
J3KP75	PHACTR2
J3KPF0	HECTD4
J3KPS0	DNAJB12
J3KPY9	ANTXR2
J3KQ12	BSCL2
J3KQL8	APOL2
J3KR55	PTPN7
J3KRD5	CNDP2
J3KTD8	CBFB
J3KTL2	SRSF1
J3KTN0	EIF4A1
J3QL06	HYOU1
J3QL39	PFAS
J3QLP4	RIOK3
J3QLQ2	RAD51C
J3QQQ8	BPTF
J3QRB6	MAP3K3
J3QRS9	ZNF207
K3W4U1	FCER2
K4DI93	CUL4B
K7EJ35	SYNGR2
K7EJB9	CALR
K7EJQ6	YIF1B
K7EK60	FMNL1
K7EKA8	ADAM11
K7EKJ9	ILF3
K7EL40	SEPTIN9
K7ELL7	PRKCSH
K7ELQ4	ATF7-NPFF
K7ELX0	CEP192
K7EM38	ACTG1
K7EMN2	PGD
K7EMQ3	DNM2
K7EMS3	KRT19
K7EMW4	NCLN
K7EMX1	SPC24
K7ENB0	TOM1L2
K7ENF0	NARS1
K7EP26	PIN1
K7EQB2	GLYR1
K7EQU9	DUS3L
K7ER88	ACAA2
K7ER95	MAP4K1
K7ES57	MFSD11
L0R6Q1	SLC35A4
L0R819	ASDURF
L0R8F8	MIEF1
M0QXA7	WIZ
M0QY01	EPS15L1
M0QYH3	KHSRP
M0QYZ1	MAN2B1
M0QYZ2	AP2S1
M0QZG7	SNRPA
M0QZM1	HNRNPM
M0QZR4	ARHGEF1
M0R019	HNRNPM
M0R054	SAE1
M0R080	DNAJB1
M0R0K9	TRIM28
M0R248	ECH1
M0R2Q4	FBL
O00115	DNASE2
O00116	AGPS
O00139	KIF2A
O00142	TK2
O00148	DDX39A
O00151	PDLIM1
O00154	ACOT7
O00160	MYO1F
O00161	SNAP23
O00165	HAX1
O00170	AIP
O00178	GTPBP1
O00182	LGALS9
O00186	STXBP3
O00193	SMAP
O00194	RAB27B
O00203	AP3B1
O00206	TLR4
O00214	LGALS8
O00217	NDUFS8
O00221	NFKBIE
O00231	PSMD11
O00232	PSMD12
O00233	PSMD9
O00241	SIRPB1
O00255	MEN1
O00257	CBX4
O00258	GET1
O00264	PGRMC1
O00267	SUPT5H
O00268	TAF4
O00273	DFFA
O00287	RFXAP
O00291	HIP1
O00299	CLIC1
O00303	EIF3F
O00308	WWP2
O00329	PIK3CD
O00330	PDHX
O00391	QSOX1
O00399	DCTN6
O00400	SLC33A1
O00409	FOXN3
O00410	IPO5
O00411	POLRMT
O00418	EEF2K
O00422	SAP18
O00429	DNM1L
O00442	RTCA
O00443	PIK3C2A
O00453	LST1
O00459	PIK3R2
O00462	MANBA
O00471	EXOC5
O00478	BTN3A3
O00479	HMGN4
O00481	BTN3A1
O00483	NDUFA4
O00487	PSMD14
O00488	ZNF593
O00499	BIN1
O00505	KPNA3
O00506	STK25
O00507	USP9Y
O00519	FAAH
O00522	KRIT1
O00534	VWA5A
O00560	SDCBP
O00562	PITPNM1
O00566	MPHOSPH10
O00567	NOP56
O00587	MFNG
O00602	FCN1
O00629	KPNA4
O00635	TRIM38
O00716	E2F3
O00743	PPP6C
O00754	MAN2B1
O00757	FBP2
O00764	PDXK
O14492	SH2B2
O14497	ARID1A
O14519	CDK2AP1
O14521	SDHD
O14523	C2CD2L
O14524	NEMP1
O14530	TXNDC9
O14545	TRAFD1
O14548	COX7A2L
O14561	NDUFAB1
O14569	CYB561D2
O14579	COPE
O14593	RFXANK
O14613	CDC42EP2
O14617	AP3D1
O14639	ABLIM1
O14646	CHD1
O14647	CHD2
O14656	TOR1A
O14657	TOR1B
O14672	ADAM10
O14678	ABCD4
O14681	EI24
O14686	KMT2D
O14715	RGPD8
O14717	TRDMT1
O14727	APAF1
O14732	IMPA2
O14733	MAP2K7
O14734	ACOT8
O14735	CDIPT
O14737	PDCD5
O14744	PRMT5
O14745	NHERF1
O14763	TNFRSF10B
O14773	TPP1
O14776	TCERG1
O14777	NDC80
O14787	TNPO2
O14802	POLR3A
O14818	PSMA7
O14828	SCAMP3
O14832	PHYH
O14841	OPLAH
O14867	BACH1
O14874	BCKDK
O14879	IFIT3
O14893	GEMIN2
O14907	TAX1BP3
O14908	GIPC1
O14910	LIN7A
O14920	IKBKB
O14925	TIMM23
O14929	HAT1
O14933	UBE2L6
O14936	CASK
O14939	PLD2
O14948	TFEC
O14949	UQCRQ
O14957	UQCR11
O14964	HGS
O14966	RAB29
O14967	CLGN
O14972	VPS26C
O14974	PPP1R12A
O14975	SLC27A2
O14976	GAK
O14980	XPO1
O14994	SYN3
O15014	ZNF609
O15015	ZNF646
O15031	PLXNB2
O15037	KHNYN
O15040	TECPR2
